genres,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,weighted_females_allages_rating,weighted_males_allages_rating,movies
Drama,6.63143879173291,6.407047172061347,6.454746955061606,6.539068944128795,6.507770672852981,2516
Comedy,6.3027484143763255,6.214126341092287,6.177746065935185,6.35474826831259,6.2127194706739814,1419
Action,6.297783461210575,6.22389497384828,6.140751269834392,6.318068667939877,6.221801727053062,1173
Thriller,6.1714116251482825,6.119636809743165,6.051882256352118,6.176574823317355,6.118963272418617,843
Crime,6.44459644322845,6.2926119160258525,6.30349212130209,6.359217641447562,6.373112328850256,731
Adventure,6.397455089820354,6.342324662131062,6.295057401904361,6.544144980478662,6.326942052884372,668
Romance,6.427073552425667,6.262967799394294,6.278892594157875,6.442515181648311,6.284980781648123,639
Horror,5.7219931271477655,5.904340103941773,5.660627704670395,5.895365415566424,5.723001439951977,582
Mystery,6.136711711711704,6.109879545172624,6.0297448680900665,6.165866741974409,6.0915444202819495,444
Biography,6.904507042253523,6.645251365452011,6.723606962391827,6.824865560178139,6.7724777834614045,355
Sci-Fi,6.144590163934428,6.236441811979016,6.065011212824122,6.297728429961329,6.121834972236158,305
Fantasy,6.158965517241382,6.1478182092006755,6.055259059935715,6.309692022489073,6.079633899888554,290
Animation,6.752054794520547,6.483905275576199,6.596559414997563,6.741215013566353,6.626511666824255,219
History,6.849696969696967,6.535162046227384,6.631934569627267,6.740896585538069,6.693499600147494,165
Family,6.388590604026844,6.224209526485828,6.252148119715148,6.543052118530889,6.249328513678163,149
Music,6.557657657657656,6.37935535852962,6.3820365040954465,6.564050187200059,6.406044353287763,111
War,6.900000000000001,6.559550759965458,6.7013363542281175,6.786978453301791,6.749568374988269,64
Sport,6.86935483870968,6.553790655717124,6.646750496060174,6.654271375671897,6.736308886544752,62
Western,6.521428571428571,6.444652851970092,6.392485906768743,6.389823833017195,6.463879478827062,28
Musical,6.773913043478261,6.4799507369218246,6.500929525282892,6.818686232182901,6.55810145047503,23
